run,tag,step,value
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,206,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,207,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,208,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,209,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,210,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,211,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,212,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,213,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,214,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,215,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,216,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,217,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,218,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,219,64.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,220,58.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,221,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,222,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,223,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,224,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,225,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,226,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,227,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,228,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,229,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,230,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,231,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,232,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,233,56.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,234,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,235,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,236,86.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,237,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,238,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,239,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,240,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,241,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,242,63.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,243,56.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,244,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,245,81.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,246,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,247,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,248,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,249,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,250,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,251,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,252,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,253,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,254,53.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,255,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,256,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,257,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,258,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,259,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,260,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,261,63.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,262,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,263,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,264,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,265,56.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,266,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,267,57.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,268,62.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,269,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,270,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,271,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,272,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,273,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,274,60.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,275,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,276,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,277,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,278,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,279,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,280,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,281,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,282,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,283,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,284,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,285,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,286,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,287,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,288,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,289,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,290,66.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,291,76.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,292,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,293,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,294,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,295,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,296,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,297,65.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,298,54.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,299,52.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,300,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,301,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,302,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,303,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,304,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,305,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,306,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,307,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,308,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,309,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,310,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,311,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,312,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,313,59.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,314,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,315,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,316,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,317,48.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,318,56.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,319,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,320,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,321,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,322,55.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,323,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,324,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,325,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,326,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,327,57.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,328,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,329,67.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,330,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,331,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,332,50.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,333,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,334,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,335,51.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,336,41.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,337,43.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,338,42.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,339,49.0
Feb16_12-32-35_samyuen-System-Product-Name20220216-123235,Train/score,340,41.0
